CAS,SMILES,Experimental value [log(L/kg)],NumAromaticRings,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,qed,TPSA,MolMR,BalabanJ,BertzCT,fr_COO,fr_COO2,fr_halogen,MolWt,MolLogP
50-29-3,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,3.605,2,0,5,2,100,0.540334122,0,85.037,2.474116813,494.0441614,0,0,5,354.491,6.4955
50-30-6,O=C(O)c1c(cccc1Cl)Cl,-0.222,1,1,4,1,58,0.740184271,37.3,43.4213,3.318913173,276.2420898,1,1,2,191.013,2.6916
50-31-7,O=C(O)c1c(ccc(c1Cl)Cl)Cl,0.073,1,1,5,1,64,0.744344417,37.3,48.4313,3.428930881,335.6685277,1,1,3,225.458,3.345
50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,2.731,5,0,0,0,92,0.243454184,0,87.652,2.230840176,1069.721887,0,0,0,252.316,5.7372
51-28-5,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],0.052,1,5,7,2,68,0.548520191,106.51,41.4156,3.267052212,375.2874025,0,0,0,184.107,1.2086
51-44-5,O=C(O)c1ccc(c(c1)Cl)Cl,-0.169,1,1,4,1,58,0.740184271,37.3,43.4213,3.151549668,296.4920898,1,1,2,191.013,2.6916
53-70-3,c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45,2.8,5,0,0,0,102,0.230196756,0,96.466,2.019425486,1070.797817,0,0,0,278.354,6.2994
55-38-9,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,2.26,1,5,6,5,90,0.605654616,27.69,71.891,2.905013649,401.0506573,0,0,0,278.335,3.61302
56-23-5,C(Cl)(Cl)(Cl)Cl,1.03,0,0,4,0,32,0.469795536,0,26.143,3.023715784,19.11941548,0,0,4,153.823,2.5529
56-35-9,O([Sn](CCCC)(CCCC)CCCC)[Sn](CCCC)(CCCC)CCCC,3.994,0,1,3,20,164,0.12731934,9.23,130.883,5.663274909,245.9541588,0,0,0,596.117,9.6946
56-38-2,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,2.106,1,6,8,7,100,0.435980905,70.83,71.2614,2.809298824,440.0861905,0,0,0,291.265,3.2711
56-55-3,c3ccc4cc2c(ccc1ccccc12)cc4(c3),2.54,4,0,0,0,84,0.288354375,0,78.96,2.268265813,866.2526221,0,0,0,228.294,5.1462
57-15-8,OC(C)(C)C(Cl)(Cl)Cl,0.301,0,1,4,0,50,0.562180829,20.23,36.5878,4.020391543,66.26466251,0,0,3,177.458,2.1275
58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,2.006,1,1,5,0,60,0.528719364,20.23,48.1468,3.455546484,270.8740242,0,0,4,231.893,4.0058
59-50-7,Oc1ccc(c(c1)C)Cl,1.016,1,1,2,0,48,0.589767459,20.23,37.8538,3.17167803,220.1561776,0,0,1,142.585,2.35402
