T [C],P_vap [kPa],H_vap [J/g],rho_vap [g/cm3],rho_liq [g/cm3]
-56.6,518.3,,,1.179
-56,531.8,,,1.177
-54,579.1,,,1.169
-52,629.6,,,1.162
-50,683.4,,,1.155
-48,740.6,,,1.147
-46,801.3,,,1.139
-44,865.6,,,1.131
-42,933.8,,,1.124
-40,1005.7,,,1.116
-38,1081.9,,,1.108
-36,1161.8,,,1.1
-34,1246.2,,,1.092
-32,1335.1,,,1.084
-30,1428.6,,,1.075
-28.89,1521,292.9,0.03846,1.0306
-27.78,1575,291,0.03987,1.0276
-26.67,1630,289.4,0.04133,1.0242
-25.56,1686,287.5,0.04283,1.0209
-24.44,1744,285.7,0.0444,1.017
-23.33,1804,283.6,0.046,1.0132
-22.22,1866,281.7,0.04767,1.0093
-21.11,1928,279.6,0.04938,1.0053
-20,1993,277.8,0.05116,1.0011
-18.89,2059,275.7,0.053,0.9968
-17.78,2114,273.6,0.05489,0.9923
-16.67,2197,271.2,0.05686,0.9875
-15.56,2269,269.2,0.05888,0.9829
-14.44,2343,266.9,0.06098,0.9782
-13.33,2418,264.5,0.06314,0.9734
-12.22,2495,262.2,0.06539,0.9665
-11.11,2574,259.7,0.06771,0.9639
-10,2654,257.3,0.07011,0.9592
-8.89,2738,254.8,0.07259,0.9543
-7.78,2823,252.2,0.07516,0.9494
-6.67,2910,249.4,0.07783,0.9443
-5.56,2999,246.6,0.08059,0.9393
-4.44,3090,243.8,0.08347,0.934
-3.89,3136,242.4,0.08494,0.9313
-2.78,3230,239.7,0.08797,0.926
-1.67,3327,236.6,0.09111,0.9206
-0.56,3425,233.6,0.09438,0.915
0.56,3526,230.5,0.09776,0.9094
1.67,3629,227.3,0.1013,0.9036
2.78,3735,224,0.105,0.8975
3.89,3843,220.5,0.1088,0.8914
5,3953,217,0.1128,0.885
6.11,4067,213.4,0.1169,0.8784
7.22,4182,209.7,0.1213,0.8716
8.33,4300,205.8,0.1258,0.8645
9.44,4420,201.8,0.1306,0.8571
10.56,4544,197.7,0.1355,0.8496
11.67,4670,193.4,0.1408,0.8418
12.78,4798,188.9,0.1463,0.8338
13.89,4929,184.3,0.1521,0.8254
15,5063,179.5,0.1583,0.8168
16.11,5200,174.4,0.1648,0.8076
17.22,5340,169.1,0.1717,0.7977
18.33,5482,163.5,0.1791,0.7871
19.44,5628,157.6,0.1869,0.7759
20.56,5776,151.4,0.1956,0.7639
21.67,5928,144.7,0.2054,0.7508
22.78,6083,137.5,0.2151,0.7367
23.89,6240,129.8,0.2263,0.7216
25,6401,121.3,0.2387,0.7058
26.11,6565,111.8,0.2532,0.6894
27.22,6733,101.1,0.2707,0.672
28.33,6902,88.49,0.2923,0.6507
29.44,7081,72.72,0.3204,0.6209
30,7164,62.76,0.3378,0.5992
30.56,7253,50.04,0.3581,0.5661
31.1,7391,0,0.4641,0.4641
