c_A;c_B;c_X
0.4959;0.5000;-0.0051
0.4470;0.4300;0.0579
0.4059;0.3880;0.1014
0.3854;0.3440;0.1410
0.3615;0.3093;0.1592
0.3426;0.2884;0.1850
0.3366;0.2625;0.2056
0.3262;0.2400;0.2198
0.3162;0.2205;0.2200
0.3144;0.2082;0.2346
0.3156;0.1991;0.2456
0.3109;0.1840;0.2418
0.3129;0.1750;0.2437
0.3066;0.1661;0.2539
0.3159;0.1637;0.2561
0.3275;0.1600;0.2645
0.3164;0.1581;0.2655
0.3214;0.1426;0.2675
0.3270;0.1436;0.2711
0.3292;0.1397;0.2594
0.3333;0.1367;0.2649
0.3351;0.1284;0.2659
0.3449;0.1179;0.2687
0.3433;0.1240;0.2628
0.3466;0.1211;0.2621
0.3454;0.1155;0.2691
0.3519;0.1270;0.2575
0.3567;0.1154;0.2665
0.3598;0.1197;0.2584
0.3658;0.1110;0.2641
